station_id,station_name,month_beginning,avg_weekday_rides,avg_saturday_rides,avg_sunday-holiday_rides,month_total,lat,long
40900,Howard,2001-01-01,6233.9,3814.5,2408.6,164447,42.019063,-87.672892
41190,Jarvis,2001-01-01,1489.1,1054.0,718.0,40567,42.015876,-87.669092
40100,Morse,2001-01-01,4412.5,3064.5,2087.8,119772,42.008362,-87.665909
41300,Loyola,2001-01-01,4664.5,3156.0,1952.8,125008,42.001073,-87.661061
40760,Granville,2001-01-01,3109.8,2126.0,1453.8,84189,41.993664,-87.659202
40880,Thorndale,2001-01-01,2977.7,1840.3,1262.6,79184,41.990259,-87.659076
41380,Bryn Mawr,2001-01-01,4425.4,2708.3,1881.2,117597,41.983504,-87.65884
40340,Berwyn,2001-01-01,3329.6,2050.8,1445.6,88683,41.977984,-87.658668
41200,Argyle,2001-01-01,2745.5,1874.5,1268.2,74240,41.973453,-87.65853
40770,Lawrence,2001-01-01,2689.6,1869.0,1227.8,72786,41.969139,-87.658493
40540,Wilson,2001-01-01,4968.1,3069.0,1903.8,131094,41.964273,-87.657588
40080,Sheridan,2001-01-01,4455.9,2625.8,1685.2,116958,41.953775,-87.654929
41420,Addison-North Main,2001-01-01,4805.5,2893.5,1900.2,126797,41.947428,-87.653626
41320,Belmont-North Main,2001-01-01,9075.5,6860.5,4241.4,248310,41.939751,-87.65338
41220,Fullerton,2001-01-01,10121.0,5239.8,3116.2,259203,41.925051,-87.652866
40650,North/Clybourn,2001-01-01,3525.6,2674.5,1772.8,97126,41.910655,-87.649177
40630,Clark/Division,2001-01-01,6501.5,4726.5,3209.0,177985,41.90392,-87.631412
41450,Chicago/State,2001-01-01,12311.0,9184.3,5658.6,335872,41.896671,-87.628176
40330,Grand/State,2001-01-01,8378.5,5428.0,3504.8,223562,41.891665,-87.628021
41660,Lake/State,2001-01-01,13360.8,5721.8,3575.8,334704,41.884809,-87.627813
41090,Monroe/State,2001-01-01,7123.0,2439.3,1269.2,172809,41.880745,-87.627696
40560,Jackson/State,2001-01-01,11340.2,3649.0,1877.6,273468,41.878153,-87.627596
41490,Harrison,2001-01-01,2384.7,1208.3,715.4,60874,41.874039,-87.627479
41400,Roosevelt,2001-01-01,5510.8,3170.3,2052.0,144179,41.867405,-87.62659
41400,Roosevelt,2001-01-01,5510.8,3170.3,2052.0,144179,41.867368,-87.627402
41000,Cermak-Chinatown,2001-01-01,2396.3,2349.8,2066.6,72450,41.853206,-87.630968
40190,Sox-35th-Dan Ryan,2001-01-01,3431.9,2124.3,1491.6,91457,41.831191,-87.630636
41230,47th-Dan Ryan,2001-01-01,2297.6,1594.3,1121.2,62530,41.810318,-87.63094
41170,Garfield-Dan Ryan,2001-01-01,4510.2,3181.5,1879.4,121347,41.79542,-87.631157
40910,63rd-Dan Ryan,2001-01-01,3631.5,2414.8,1817.8,98640,41.780536,-87.630952
40990,69th,2001-01-01,6818.6,4519.8,2901.0,182594,41.768367,-87.625724
40240,79th,2001-01-01,7406.7,4689.5,3187.6,197643,41.750419,-87.625112
41430,87th,2001-01-01,5341.1,3239.3,2031.6,140619,41.735372,-87.624717
40450,95th/Dan Ryan,2001-01-01,14162.6,7472.8,4914.4,366040,41.722377,-87.624342
41050,Linden,2001-01-01,1075.2,413.3,219.8,26407,42.073153,-87.69073
41250,Central-Evanston,2001-01-01,942.6,449.8,242.4,23749,42.063987,-87.685617
40400,Noyes,2001-01-01,552.4,404.3,184.0,14689,42.058282,-87.683337
40520,Foster,2001-01-01,687.9,424.0,221.4,17937,42.05416,-87.68356
40050,Davis,2001-01-01,3564.8,2541.5,1313.8,95161,42.04771,-87.683543
40690,Dempster,2001-01-01,649.0,415.8,260.6,17244,42.041655,-87.681602
40270,Main,2001-01-01,1213.0,664.0,355.4,31118,42.033456,-87.679538
40840,South Boulevard,2001-01-01,851.1,411.3,225.2,21495,42.027612,-87.678329
40140,Skokie,2001-01-01,2521.5,0.0,0.0,55472,42.038951,-87.751919
40890,O'Hare Airport,2001-01-01,7907.7,5913.3,6097.8,228112,41.97766526,-87.90422307
