,name,latitude,longitude,coordinates
0,East River Rd & Carmen,41.971302724,-87.84658291699998,"(41.971302724, -87.84658291699998)"
1,Pavilion 5441 Building,41.97852496899998,-87.84299182199999,"(41.97852496899998, -87.84299182199999)"
2,Irving Park & Cumberland,41.95195466000001,-87.83641751300001,"(41.95195466000001, -87.83641751300001)"
3,Lawrence & Chester,41.96669260300001,-87.838993233,"(41.96669260300001, -87.838993233)"
4,Lawrence & Cumberland,41.96669985300002,-87.83643297399999,"(41.96669985300002, -87.83643297399999)"
5,Cumberland & Ainslie,41.96831461599999,-87.83659367799999,"(41.96831461599999, -87.83659367799999)"
6,Cumberland & Argyle,41.97032400000001,-87.83670999899999,"(41.97032400000001, -87.83670999899999)"
7,Bryn Mawr & Gregory,41.98031400000002,-87.83718399999998,"(41.98031400000002, -87.83718399999998)"
8,Belmont & Plainfield,41.93758871300003,-87.833413968,"(41.93758871300003, -87.833413968)"
9,Irving Park & Plainfield,41.95217966600001,-87.83412095199998,"(41.95217966600001, -87.83412095199998)"
10,Addison & Paris,41.94503206799999,-87.83023935799997,"(41.94503206799999, -87.83023935799997)"
11,Irving Park & Pioneer,41.95222817600001,-87.83164532699999,"(41.95222817600001, -87.83164532699999)"
12,Lawrence & Courtland,41.96657548600001,-87.83147139300002,"(41.96657548600001, -87.83147139300002)"
13,Lawrence & Prospect,41.96676516600002,-87.83101847400002,"(41.96676516600002, -87.83101847400002)"
14,Lawrence & Vine,41.96664628899998,-87.82882447700001,"(41.96664628899998, -87.82882447700001)"
15,Lawrence & Canfield,41.966930633,-87.82659778099998,"(41.966930633, -87.82659778099998)"
16,Washington & Summit,42.00772951599998,-87.82679661399999,"(42.00772951599998, -87.82679661399999)"
17,Belmont & Ozanam (78th Avenue),41.93776212099999,-87.82147456899997,"(41.93776212099999, -87.82147456899997)"
18,Lawrence & Opal,41.96674029600001,-87.82322630200002,"(41.96674029600001, -87.82322630200002)"
19,Talcott & Canfield,41.99332900000002,-87.82192300000003,"(41.99332900000002, -87.82192300000003)"
20,Canfield & Palatine,41.99493809000001,-87.82178224400002,"(41.99493809000001, -87.82178224400002)"
21,Addison & Overhill,41.94528657799998,-87.819467347,"(41.94528657799998, -87.819467347)"
22,Devon & Overhill,41.99685399999998,-87.819091001,"(41.99685399999998, -87.819091001)"
23,Belmont & Oriole (76th Avenue),41.937837118,-87.81658557499998,"(41.937837118, -87.81658557499998)"
