,stop_id,on_street,cross_street,routes,boardings,alightings,location
0,1,JACKSON,AUSTIN,126,183.4,150.0,"(41.87632184, -87.77410482)"
1,2,JACKSON,MAYFIELD (EXTENDED),126,5.3,0.2,"(41.87706679, -87.77131794)"
2,3,JACKSON,MENARD,126,8.3,0.7,"(41.87695725, -87.76975039)"
3,4,JACKSON,5700 WEST,126,17.9,3.0,"(41.87702418, -87.76745055)"
4,6,JACKSON,LOTUS,126,74.0,11.2,"(41.876513, -87.761446)"
5,7,JACKSON,5351 WEST,126,14.3,2.5,"(41.87655197, -87.75892544)"
6,8,JACKSON,LOCKWOOD,126,62.4,14.1,"(41.876564, -87.757313)"
7,9,JACKSON,LARAMIE,126,0.1,0.0,"(41.87659463, -87.75461526)"
8,12,JACKSON,LAVERGNE,126,0.0,0.0,"(41.87662062, -87.74912362)"
9,13,JACKSON,4849 WEST,126,0.0,0.0,"(41.87668892, -87.74701737)"
10,14,JACKSON,CICERO,126,530.5,145.2,"(41.87676314, -87.74483066)"
11,15,JACKSON,KILPATRICK,126,51.6,13.1,"(41.87682975, -87.74254901)"
12,16,JACKSON,KENTON,126,16.2,8.1,"(41.87683358, -87.74058525)"
13,17,JACKSON,KOLMAR,126,17.9,5.2,"(41.87685748, -87.73934698)"
14,18,JACKSON,KILBOURN,126,56.4,29.6,"(41.87688572, -87.73761421)"
15,19,JACKSON,KOSTNER,126,95.1,28.2,"(41.87691497, -87.73515882)"
16,20,JACKSON,KILDARE,126,56.3,31.0,"(41.876933, -87.73265)"
17,21,JACKSON,KEELER,126,49.4,21.5,"(41.876963, -87.7302)"
18,22,JACKSON,KARLOV,126,25.1,36.1,"(41.8770066, -87.72780787)"
19,23,JACKSON,PULASKI,126,239.9,122.0,"(41.87704003, -87.72532923)"
20,24,JACKSON,SPRINGFIELD,126,32.1,16.6,"(41.87706855, -87.72295441)"
21,25,JACKSON,HAMLIN,126,60.3,54.6,"(41.87708065, -87.72082664)"
22,26,JACKSON,CENTRAL PARK,126,40.1,41.3,"(41.87714182, -87.7154772)"
23,27,JACKSON,ST. LOUIS,126,13.1,17.4,"(41.877181, -87.713241)"
24,29,JACKSON,SPAULDING,126,9.8,35.3,"(41.87723116, -87.70827664)"
25,30,JACKSON,KEDZIE,126,161.5,148.7,"(41.87725804, -87.70577393)"
26,31,JACKSON,ALBANY,126,20.1,28.0,"(41.877288, -87.703323)"
27,32,JACKSON,SACRAMENTO,126,54.8,34.6,"(41.877318, -87.700867)"
28,33,JACKSON,FRANCISCO,126,56.7,80.9,"(41.877348, -87.69841)"
29,34,JACKSON,CALIFORNIA,126,105.4,81.8,"(41.87737082, -87.69595515)"
30,35,JACKSON,WASHTENAW,126,30.8,16.8,"(41.87739943, -87.69355299)"
31,36,JACKSON,2609 WEST alley,126,8.4,8.3,"(41.8774236, -87.69165753)"
32,38,JACKSON,WESTERN,126,81.3,97.1,"(41.877478, -87.686093)"
33,39,JACKSON,OAKLEY,126,26.6,148.6,"(41.877496, -87.683652)"
34,40,JACKSON,LEAVITT,126,36.1,20.4,"(41.87754396, -87.68127094)"
35,41,JACKSON,HOYNE,126,32.0,85.3,"(41.87739502, -87.67873587)"
36,42,JACKSON,DAMEN,126,60.7,92.9,"(41.877421, -87.67667235)"
37,44,DAMEN,CONGRESS,"50,126",50.7,38.6,"(41.87513747, -87.67664239)"
38,48,HARRISON,WOOD,126,1.0,1.5,"(41.874059, -87.671334)"
39,49,HARRISON,PAULINA,"126, 755",1.6,4.3,"(41.87409, -87.669231)"
40,50,ASHLAND,CONGRESS,"9,126",14.8,27.0,"(41.87508698, -87.66643194)"
41,51,ASHLAND,VAN BUREN,"9,126",100.9,260.7,"(41.87655158, -87.66651521)"
42,52,JACKSON,1900 W.(MALCOLM X COLL.),126,82.8,229.0,"(41.87743988, -87.67402389)"
43,53,JACKSON,OGDEN,126,23.6,26.8,"(41.87748733, -87.67103731)"
44,54,JACKSON,PAULINA,126,34.7,35.0,"(41.8775244, -87.66899047)"
45,55,JACKSON,ASHLAND,126,61.9,88.8,"(41.87755467, -87.66689065)"
46,56,JACKSON,LAFLIN,126,66.6,27.1,"(41.87759, -87.664068)"
47,57,JACKSON,LOOMIS,126,9.9,15.6,"(41.877634, -87.661652)"
48,59,JACKSON,RACINE,126,96.0,41.9,"(41.87772931, -87.65677916)"
49,60,JACKSON,ABERDEEN,126,24.9,6.5,"(41.877751, -87.654338)"
50,61,JACKSON,MORGAN,126,36.9,15.3,"(41.87780698, -87.65169869)"
51,63,JACKSON,PEORIA,126,69.7,83.0,"(41.87784819, -87.64946073)"
52,64,JACKSON,HALSTED,126,42.0,45.8,"(41.8778898, -87.64696658)"
