month_beginning,month_total,avg_weekday_rides,avg_saturday_rides,avg_sunday-holiday_rides
2001-01-01,164447,6233.9,3814.5,2408.6
2001-01-01,40567,1489.1,1054.0,718.0
2001-01-01,119772,4412.5,3064.5,2087.8
2001-01-01,125008,4664.5,3156.0,1952.8
2001-01-01,84189,3109.8,2126.0,1453.8
2001-01-01,79184,2977.7,1840.3,1262.6
2001-01-01,117597,4425.4,2708.3,1881.2
2001-01-01,88683,3329.6,2050.8,1445.6
2001-01-01,74240,2745.5,1874.5,1268.2
2001-01-01,72786,2689.6,1869.0,1227.8
2001-01-01,131094,4968.1,3069.0,1903.8
2001-01-01,116958,4455.9,2625.8,1685.2
2001-01-01,126797,4805.5,2893.5,1900.2
2001-01-01,248310,9075.5,6860.5,4241.4
2001-01-01,259203,10121.0,5239.8,3116.2
2001-01-01,97126,3525.6,2674.5,1772.8
2001-01-01,177985,6501.5,4726.5,3209.0
2001-01-01,335872,12311.0,9184.3,5658.6
2001-01-01,223562,8378.5,5428.0,3504.8
2001-01-01,334704,13360.8,5721.8,3575.8
2001-01-01,172809,7123.0,2439.3,1269.2
2001-01-01,273468,11340.2,3649.0,1877.6
2001-01-01,60874,2384.7,1208.3,715.4
2001-01-01,144179,5510.8,3170.3,2052.0
2001-01-01,144179,5510.8,3170.3,2052.0
2001-01-01,72450,2396.3,2349.8,2066.6
2001-01-01,91457,3431.9,2124.3,1491.6
2001-01-01,62530,2297.6,1594.3,1121.2
2001-01-01,121347,4510.2,3181.5,1879.4
2001-01-01,98640,3631.5,2414.8,1817.8
2001-01-01,182594,6818.6,4519.8,2901.0
2001-01-01,197643,7406.7,4689.5,3187.6
2001-01-01,140619,5341.1,3239.3,2031.6
2001-01-01,366040,14162.6,7472.8,4914.4
2001-01-01,26407,1075.2,413.3,219.8
2001-01-01,23749,942.6,449.8,242.4
2001-01-01,14689,552.4,404.3,184.0
2001-01-01,17937,687.9,424.0,221.4
2001-01-01,95161,3564.8,2541.5,1313.8
2001-01-01,17244,649.0,415.8,260.6
2001-01-01,31118,1213.0,664.0,355.4
2001-01-01,21495,851.1,411.3,225.2
2001-01-01,55472,2521.5,0.0,0.0
2001-01-01,228112,7907.7,5913.3,6097.8
2001-01-01,126579,5162.3,1866.0,1108.8
2001-01-01,115054,4729.2,1516.3,989.4
2001-01-01,65534,2657.0,1015.8,603.6
2001-01-01,165259,6619.0,2717.5,1754.0
2001-01-01,47122,1903.1,722.0,473.2
2001-01-01,94013,3724.1,1671.5,1079.4
2001-01-01,58124,2391.0,790.0,472.4
2001-01-01,116812,4548.6,2275.5,1528.0
2001-01-01,117803,4631.6,2231.0,1396.8
2001-01-01,72176,2838.6,1406.8,819.8
2001-01-01,72395,2875.5,1293.0,792.6
2001-01-01,103604,4115.9,1846.0,1134.0
2001-01-01,109899,4362.0,1952.3,1225.4
2001-01-01,50945,2109.8,662.0,376.2
2001-01-01,28505,1138.0,499.5,294.4
2001-01-01,203619,8579.6,2215.5,1201.2
2001-01-01,131567,5668.0,1041.8,540.8
2001-01-01,168377,7105.5,1856.0,926.6
2001-01-01,49643,2152.5,342.3,183.8
2001-01-01,58118,2360.9,790.5,603.2
2001-01-01,94358,4018.3,886.5,481.8
2001-01-01,52085,2136.3,805.5,372.8
2001-01-01,49457,1919.1,1016.8,633.8
2001-01-01,25221,937.5,664.3,387.6
2001-01-01,33728,1257.9,841.8,537.6
2001-01-01,32484,1187.7,870.3,574.8
2001-01-01,27352,1004.0,742.0,459.2
2001-01-01,37193,1480.8,661.5,394.0
2001-01-01,33092,1384.1,397.5,210.2
2001-01-01,19961,785.7,377.0,233.4
2001-01-01,85926,3516.4,1220.5,736.8
2001-01-01,52383,2379.7,7.3,0.0
2001-01-01,21301,967.3,5.0,0.0
2001-01-01,14477,657.9,0.8,0.0
2001-01-01,11530,523.9,1.3,0.0
2001-01-01,17157,779.7,1.0,0.0
2001-01-01,9789,444.9,0.3,0.0
2001-01-01,9974,453.0,2.3,0.0
2001-01-01,10114,459.3,2.3,0.0
2001-01-01,6673,303.2,0.5,0.0
2001-01-01,18621,845.6,4.5,0.0
2001-01-01,34057,1547.3,4.0,0.0
2001-01-01,82609,3269.7,1637.0,825.6
2001-01-01,33326,1362.5,480.8,285.8
2001-01-01,29837,1247.2,369.3,184.2
2001-01-01,49673,1972.5,927.8,513.2
2001-01-01,58047,2224.3,1295.5,786.0
2001-01-01,33036,1296.8,659.5,373.8
2001-01-01,33576,1291.3,712.8,463.2
2001-01-01,39558,1509.8,884.3,561.0
2001-01-01,30240,1168.9,626.0,404.0
2001-01-01,19449,756.8,380.8,255.4
2001-01-01,34790,1408.4,538.5,330.2
2001-01-01,42841,1816.0,405.8,253.0
2001-01-01,44893,1743.8,912.5,576.0
2001-01-01,14908,568.8,317.5,224.8
2001-01-01,19871,764.4,430.0,267.0
2001-01-01,32826,1242.1,789.3,468.4
2001-01-01,29609,1116.7,700.0,448.4
2001-01-01,19359,720.8,495.0,304.2
2001-01-01,18039,697.8,396.0,220.8
2001-01-01,35969,1400.0,716.8,460.4
2001-01-01,18770,707.6,461.5,271.2
2001-01-01,45989,1774.4,927.3,648.6
2001-01-01,102564,4022.5,2128.8,1110.6
2001-01-01,38169,1444.7,902.8,554.8
2001-01-01,26893,1085.5,459.0,235.4
2001-01-01,31403,1267.0,512.8,295.8
2001-01-01,86321,3421.9,1631.5,902.8
2001-01-01,52637,2083.4,1030.5,536.2
2001-01-01,50446,2016.1,910.8,489.6
2001-01-01,57018,2315.0,932.5,471.8
2001-01-01,43494,1794.9,637.8,291.0
2001-01-01,50919,2030.4,943.3,495.4
2001-01-01,65267,2668.3,991.0,520.0
2001-01-01,60810,2539.9,759.8,378.8
2001-01-01,106162,4286.0,1883.5,867.2
2001-01-01,80102,3338.0,1060.5,484.8
2001-01-01,53255,2132.2,963.3,498.8
2001-01-01,97322,4052.4,1354.0,550.8
2001-01-01,140195,6107.6,1022.3,347.6
2001-01-01,186353,7579.6,2506.0,1915.6
2001-01-01,118537,5021.7,1257.8,605.6
2001-01-01,71488,2907.8,1150.0,583.4
2001-01-01,77738,3216.8,1051.3,552.6
2001-01-01,49035,2034.3,640.8,343.4
2001-01-01,31895,1280.0,553.5,304.0
2001-01-01,56976,2385.1,679.3,357.4
2001-01-01,163166,7217.2,718.3,303.0
2006-04-01,0,0.0,0.0,0.0
2001-01-01,180161,7928.3,895.8,431.0
2001-01-01,81860,3638.3,300.0,123.4
2001-01-01,56662,2391.6,701.8,248.0
2001-01-01,165928,6918.8,2206.0,978.2
2001-01-01,210942,8352.5,3808.5,2390.8
2001-01-01,350089,15174.9,2356.3,1363.4
2001-02-01,152971,6389.5,3761.0,2534.3
2001-02-01,37553,1510.5,1079.3,756.5
2001-02-01,110184,4478.1,2999.8,2155.8
2001-02-01,122130,5010.0,3339.8,2143.0
2001-02-01,81022,3288.7,2210.3,1601.8
2001-02-01,74821,3099.1,1866.0,1343.8
2001-02-01,109762,4547.2,2706.8,1997.8
2001-02-01,82954,3420.1,2073.8,1564.3
2001-02-01,67801,2775.0,1764.3,1311.0
2001-02-01,67848,2742.4,1864.0,1386.3
2001-02-01,129078,5368.7,3341.3,2085.0
2001-02-01,107787,4518.0,2572.3,1784.8
2001-02-01,119335,4992.7,2905.5,1965.0
2001-02-01,231643,9317.7,6584.5,4737.8
2001-02-01,242787,10417.9,5102.0,3505.3
2001-02-01,89439,3576.6,2561.0,1915.8
2001-02-01,166712,6703.9,4672.8,3485.8
2001-02-01,309684,12516.1,8718.3,6122.5
2001-02-01,202304,8246.9,5431.0,3910.8
2001-02-01,311022,13598.5,5792.3,3971.0
2001-02-01,164594,7399.0,2665.0,1488.5
2001-02-01,259132,11756.0,3877.3,2125.8
2001-02-01,61156,2645.3,1287.0,775.8
2001-02-01,137861,5766.3,3365.8,2268.3
2001-02-01,137861,5766.3,3365.8,2268.3
2001-02-01,69382,2553.9,2574.0,2002.0
2001-02-01,86850,3588.6,2165.0,1604.8
2001-02-01,59216,2400.7,1603.3,1197.3
2001-02-01,111842,4587.7,3002.8,2019.3
2001-02-01,89194,3586.3,2416.5,1950.5
2001-02-01,166937,6869.5,4392.8,2994.0
2001-02-01,181907,7489.3,4700.0,3330.3
2001-02-01,131125,5454.7,3301.5,2206.3
2001-02-01,338708,14445.6,7166.5,5282.8
2001-02-01,24573,1095.9,411.8,252.3
2001-02-01,22185,955.2,501.3,269.3
2001-02-01,14449,593.2,431.0,215.3
2001-02-01,16688,708.9,387.5,240.3
2001-02-01,86409,3528.9,2515.3,1442.8
2001-02-01,16249,673.7,415.8,278.3
2001-02-01,28407,1213.8,655.3,377.8
2001-02-01,19300,841.8,383.3,233.0
2001-02-01,50909,2545.5,0.0,0.0
2001-02-01,204366,7844.5,5748.3,6120.8
2001-02-01,118020,5236.2,1996.3,1327.8
2001-02-01,105790,4760.3,1561.5,1084.8
2001-02-01,60775,2706.4,1011.5,650.3
2001-02-01,151298,6661.4,2645.8,1872.0
2001-02-01,43889,1958.6,690.0,489.3
2001-02-01,84091,3661.0,1587.3,1130.5
2001-02-01,55121,2487.2,800.8,543.5
2001-02-01,107392,4606.1,2231.3,1586.5
2001-02-01,107712,4636.0,2252.0,1496.0
2001-02-01,67211,2912.7,1374.0,865.3
2001-02-01,64994,2844.2,1254.3,773.5
2001-02-01,95630,4170.4,1789.5,1266.0
2001-02-01,102745,4484.4,1940.3,1324.0
2001-02-01,48606,2204.9,703.5,423.5
2001-02-01,26138,1152.5,479.5,292.5
2001-02-01,192430,8890.6,2275.5,1379.0
2001-02-01,125934,5945.8,1102.3,652.3
2001-02-01,159623,7392.2,1903.5,1041.3
2001-02-01,46354,2208.6,354.3,191.5
2001-02-01,51136,2278.2,744.5,648.5
2001-02-01,94352,4405.3,963.0,598.8
2001-02-01,49627,2242.7,768.5,425.0
2001-02-01,45799,1969.9,987.5,613.0
