OBJECTID,TRACTCE10,geoid10,commarea,MEANMI_07,MEANMI_11,MEANMI_14
1,842400,17031842400,44,            1.4066,            1.3675,            1.0502
2,840300,17031840300,59,            0.4343,            0.3362,            0.3147
3,841100,17031841100,34,            1.3221,            1.2829,            0.4284
4,841200,17031841200,31,            0.2873,            0.2873,            0.2220
5,838200,17031838200,28,            1.3909,            1.3909,            0.9741
6,650301,17031650301,65,            1.4087,            1.1812,            1.0111
7,530503,17031530503,53,            1.4143,            1.5156,            1.5156
8,760803,17031760803,76,            0.7764,            0.7507,            0.7507
9,540102,17031540102,54,            2.0824,            3.4383,            3.1174
10,540101,17031540101,54,            1.8272,            3.2777,            2.9747
11,440201,17031440201,44,            1.6674,            0.8054,            0.8054
12,839000,17031839000,32,            0.4618,            0.2485,            0.2485
13,030601,17031030601,77,            0.8080,            0.8080,            0.8212
14,030604,17031030604,77,            0.5934,            0.5934,            0.6259
15,020801,17031020801,2,            1.4406,            0.7876,            1.2520
16,843300,17031843300,29,            0.7884,            0.9100,            0.9100
17,080202,17031080202,8,            0.2796,            0.2796,            0.1905
18,070102,17031070102,7,            0.2453,            0.2453,            0.3339
19,031501,17031031501,3,            0.7903,            0.7903,            0.4630
20,031502,17031031502,3,            1.0400,            1.0287,            0.2678
21,834900,17031834900,67,            0.6432,            0.6432,            0.6432
22,834800,17031834800,68,            1.7699,            1.7699,            1.6787
23,160502,17031160502,16,            0.3311,            0.3311,            0.3311
24,140702,17031140702,14,            0.3719,            0.3719,            0.3719
25,842000,17031842000,35,            0.5028,            0.5028,            0.5028
26,150402,17031150402,15,            0.7834,            0.7834,            0.6406
27,834400,17031834400,42,            1.4954,            1.4954,            1.1430
28,040201,17031040201,4,            0.3893,            0.3893,            0.3893
29,040202,17031040202,4,            0.9763,            0.9549,            0.9763
30,020702,17031020702,2,            1.9761,            1.3225,            0.4348
31,020802,17031020802,2,            1.5447,            0.8299,            0.9324
32,020301,17031020301,2,            1.8258,            0.9687,            0.7792
33,838700,17031838700,29,            0.8305,            0.6080,            0.6080
34,841500,17031841500,29,            0.3126,            0.4101,            0.4101
35,838600,17031838600,29,            0.4021,            0.6239,            0.6239
36,837300,17031837300,27,            0.5306,            0.6280,            0.6280
37,837800,17031837800,28,            1.0480,            1.0480,            1.0480
38,837400,17031837400,27,            1.2707,            1.4103,            1.4103
39,836900,17031836900,27,            1.0138,            1.0135,            1.0135
40,020601,17031020601,2,            1.9059,            1.2588,            0.6230
41,020602,17031020602,2,            1.5171,            0.9479,            1.0528
42,020302,17031020302,2,            1.3533,            0.9809,            1.2209
43,020902,17031020902,2,            0.7446,            0.3970,            0.7446
44,010701,17031010701,1,            0.5317,            0.4656,            1.1502
45,030103,17031030103,77,            0.6540,            0.6540,            0.6540
46,030102,17031030102,77,            0.7605,            0.7605,            0.7605
47,010502,17031010502,1,            0.6188,            0.6188,            0.6188
48,010503,17031010503,1,            0.3642,            0.3642,            0.3642
49,010702,17031010702,1,            0.4921,            0.4864,            0.9352
50,837100,17031837100,27,            0.9695,            0.9695,            0.9695
51,837000,17031837000,27,            1.1847,            1.2844,            1.2844
52,010201,17031010201,1,            0.3749,            0.3749,            1.4930
53,020901,17031020901,2,            1.1165,            0.5339,            1.1103
54,040401,17031040401,4,            0.6987,            0.6987,            0.6987
55,210602,17031210602,21,            0.4525,            0.4525,            0.2597
56,160501,17031160501,16,            0.3158,            0.3158,            0.3158
57,191302,17031191302,19,            1.3125,            1.2435,            1.1726
58,190602,17031190602,19,            0.8608,            0.8344,            0.8332
59,840200,17031840200,60,            1.1707,            1.1707,            0.8107
60,530501,17031530501,53,            1.2548,            2.3729,            2.2579
